Country,Status,Accession
Afghanistan,Member,29 July 2016
Albania,Member,8 September 2000
Angola,Member,23 November 1996
Antigua and Barbuda,Member,1 January 1995
Argentina,Member,1 January 1995
Armenia,Member,5 February 2003
Australia,Member,1 January 1995
Austria,Member,1 January 1995
Bahrain,Member,1 January 1995
Bangladesh,Member,1 January 1995
Barbados,Member,1 January 1995
Belgium,Member,1 January 1995
Belize,Member,1 January 1995
Benin,Member,22 February 1996
Bolivia,Member,12 September 1995
Botswana,Member,31 May 1995
Brazil,Member,1 January 1995
Brunei,Member,1 January 1995
Bulgaria,Member,1 December 1996
Burkina Faso,Member,3 June 1995
Burundi,Member,23 July 1995
Cambodia,Member,13 October 2004
Cameroon,Member,13 December 1995
Canada,Member,1 January 1995
Cabo Verde,Member,23 July 2008
Central African Republic,Member,31 May 1995
Chad,Member,19 October 1996
Chile,Member,1 January 1995
China,Member,11 December 2001
Colombia,Member,30 April 1995
"Congo, Dem. Rep.",Member,1 January 1997
"Congo, Rep.",Member,27 March 1997
Costa Rica,Member,1 January 1995
Cote d'Ivoire,Member,1 January 1995
Croatia,Member,30 November 2000
Cuba,Member,20 April 1995
Cyprus,Member,30 July 1995
Czech Republic,Member,1 January 1995
Denmark,Member,1 January 1995
Djibouti,Member,31 May 1995
Dominica,Member,1 January 1995
Dominican Republic,Member,9 March 1995
Ecuador,Member,21 January 1996
"Egypt, Arab Rep.",Member,30 June 1995
El Salvador,Member,7 May 1995
Estonia,Member,13 November 1999
Eswatini,Member,1 January 1995
European Union,Member,1 January 1995
Fiji,Member,14 January 1996
Finland,Member,1 January 1995
France,Member,1 January 1995
Gabon,Member,1 January 1995
"Gambia, The",Member,23 October 1996
Georgia,Member,14 June 2000
Germany,Member,1 January 1995
Ghana,Member,1 January 1995
Greece,Member,1 January 1995
Grenada,Member,22 February 1996
Guatemala,Member,21 July 1995
Guinea,Member,25 October 1995
Guinea-Bissau,Member,31 May 1995
Guyana,Member,1 January 1995
Haiti,Member,30 January 1996
Honduras,Member,1 January 1995
"Hong Kong SAR, China",Member,1 January 1995
Hungary,Member,1 January 1995
Iceland,Member,1 January 1995
India,Member,1 January 1995
Indonesia,Member,1 January 1995
Ireland,Member,1 January 1995
